,date,clicks_ads,conversions_ads,cost_micros_ads,engagements_ads,impressions_ads,interactions_ads,interaction_rate_ads,average_cpm_ads,ctr_ads,average_cpc_ads,conversions_value_ads,value_per_conversion_ads,engagement_rate_ads,average_cost_ads,cost_per_conversion_ads,average_cpe_ads,transactions_anal,transactionRevenue_anal,sessions_anal,impressions_anal,adClicks_anal,adCost_anal
79,2021-07-19,2456,58.0,12167.20600000001,140,43782,2589,0.0753067632850241,236686188.58454105,0.0640724637681159,1392303.3490338165,0.0,0.0,0.017165458937198,1346015.1763285024,4025210.512077295,19404.163647342997,405,131770.98,32058,4366317,52829,66290.89
80,2021-07-20,3482,76.0,18782.802,108,85427,3578,0.0885704545454546,393871492.8840909,0.0809340909090909,2581685.988636364,0.0,0.0,0.0159624999999999,2544750.475568182,4493416.590909091,33339.834659090906,366,116004.63999999998,39213,6059925,70854,105967.19000000005
81,2021-07-21,9604,96.077,73492.625,2873,520449,12340,0.0688278595696489,406035602.22423553,0.0628980747451868,4388503.774631937,0.401440543601359,0.6115515288788222,0.0125254813137032,3967848.962627407,21578419.27066817,98382.32163080409,329,107879.07,54540,11446304,102185,196260.23000000004
82,2021-07-22,10134,96.0,71926.67199999993,3616,578148,13577,0.076208182912154,385138968.1492178,0.0714356197352587,2991414.6690734057,0.9819494584837544,0.9819494584837544,0.0119241877256317,2400063.336943441,30190437.809867628,121737.66907340552,270,85381.14,48830,9875145,94778,181155.38999999996
83,2021-07-23,8054,103.68,72209.09299999996,17131,499103,24525,0.0838887559808612,339456325.06698567,0.0767691387559808,3691801.783492823,0.1757117224880383,0.2583732057416268,0.0150035885167464,2203630.799043062,21683790.3492823,112491.71650717704,245,78636.59,52031,10562993,103800,184553.45
84,2021-07-24,8849,88.0,64794.217,7649,535540,16126,0.0704067584480601,340356320.0175219,0.0634831038798498,3438705.4355444307,0.0,0.0,0.0160350438047559,2682622.0838548187,28010436.836045057,122089.32790988736,146,45437.17,59244,10799837,114194,175834.08000000005
85,2021-07-25,8555,74.363,61404.87399999999,4166,534147,12531,0.0724720101781171,390583536.37150127,0.0666679389312978,3388841.0139949108,0.1620470737913486,0.4465648854961832,0.0175865139949109,2787373.6806615777,25950912.987277355,98929.73282442748,179,53296.76,63002,10941410,116833,173074.3200000001
86,2021-07-26,8884,97.192,72147.88499999997,11480,536723,19819,0.092184914841849,427588707.5328467,0.0847226277372263,3735962.856447689,0.6221934306569344,1.6909975669099755,0.0162141119221411,2420051.4513381994,23597342.905109487,134122.72749391728,441,142903.65,64813,11199022,118228,186470.7
87,2021-07-27,8313,100.198,66672.33500000005,6780,464510,14677,0.0867179176755448,390279946.9322034,0.0807578692493947,3524407.398305085,0.0507615012106537,0.0423728813559322,0.0143389830508474,2693808.934624697,26015798.63922518,123124.12832929782,355,114017.30000000002,63218,10278894,113219,172557.94
88,2021-07-28,8080,123.333,65516.13000000003,4151,450743,11993,0.07696357226792,412946777.15863687,0.0718495887191539,3411070.545828437,0.2898542890716803,0.8695652173913043,0.0130141010575793,2728041.174148061,24845108.19506463,105782.9132784959,431,181520.37,58973,8167171,95708,160660.62000000002
89,2021-07-29,7280,110.044,61423.176,3904,411087,10913,0.0891912832929782,426135895.7530266,0.0824745762711864,3262962.122276029,1.7894951573849878,2.4836174334140435,0.015455205811138,2825337.784503632,24680702.653753027,119189.81355932204,317,116458.77999999998,56880,7634452,93657,152289.39
90,2021-07-30,6384,69.0,55798.265000000014,5793,368052,11853,0.0809409638554217,451422224.86987954,0.0745915662650602,3707810.9578313255,0.000812048192771,0.0,0.0145289156626506,3049631.951807229,17122689.002409637,103361.23253012048,256,91428.41,45821,5062651,53551,126130.69999999992
91,2021-07-31,5932,79.0,55389.825000000026,2979,329520,8739,0.0673016905071521,400082230.82184654,0.0609063719115734,4994922.412223667,2.694408322496749,1.3472041612483745,0.014667100130039,4306789.102080625,20253200.20286086,146975.51300390117,158,57892.32,50109,5568564,67193,120514.17999999996
92,2021-08-03,2450,35.263,21433.938,4950,165510,7161,0.0932334682860998,509652153.8623482,0.0880499325236168,2698467.165991903,0.012408906882591,0.0472334682860998,0.0175897435897435,2357469.248717949,12526595.497975709,55369.06383265857,406,125792.1,30500,5893390,53080,75998.33
93,2021-08-04,4868,93.479,47231.112000000016,6282,248444,10838,0.0844423076923077,394668734.3173077,0.0769915865384615,3049866.378605769,0.4485588942307693,1.4816105769230767,0.0152728365384615,2629269.5853365385,18965400.009615384,86449.73317307692,411,132867.41999999998,28790,3170627,33375,88162.86999999995
94,2021-08-05,4530,85.441,41415.62599999997,4446,223477,8762,0.0675827338129496,356233503.2589928,0.0590863309352518,3495654.2913669064,0.4670167865707434,0.9210239808153478,0.0172074340527577,2994737.8459232613,16065714.019184653,84917.90767386091,336,104362.5,24184,2892605,30633,86073.26999999999
95,2021-08-06,2559,59.205,19254.969,97,50289,2648,0.0790110974106041,411182122.4266338,0.0696868064118372,3686349.729963009,0.1040320591861898,0.1726263871763255,0.0147595561035758,3656262.300246609,11530875.13193588,26497.712083847106,259,88420.09999999999,21203,2750310,29247,64548.92000000002
96,2021-08-07,2011,59.0,14405.052999999993,77,38660,2079,0.0708045685279187,375440071.680203,0.0625951776649746,2640338.0812182743,0.0,0.0,0.0169149746192893,2622644.228045685,2107844.431472081,28440.629060913703,139,44107.6,19954,2959701,29148,58446.83000000003
97,2021-08-08,1710,32.34,12134.091,92,33837,1792,0.0799792746113989,383855240.738342,0.0656347150259067,2601588.582901554,0.17925,0.5270077720207255,0.0194170984455958,2572000.111528497,3811913.357512953,25511.357642487048,170,51508.1,19850,2874202,30171,56721.67999999999
