date,clicks,conversions,cost_micros,engagements,impressions,interactions,interaction_rate,average_cpm,ctr,average_cpc,conversions_value,value_per_conversion,engagement_rate,average_cost,cost_per_conversion,average_cpe
2021-03-14,748,9.0,1991.957,3,15724,751,0.12252873563218387,439898146.77011496,0.12232758620689652,1820932.2011494252,0.0,0.0,0.008045977011494253,1819508.316091954,5319540.137931035,7570.752873563219
2021-03-15,1452,29.443,3900.2389999999987,20,42376,1471,0.12628333333333328,438722248.57222223,0.12609999999999996,1984887.572222222,0.8918,2.013333333333333,0.007555555555555555,1967812.8833333333,6085504.466666667,4883.724444444445
2021-03-16,2040,31.049,5696.548999999996,24,60257,2062,0.1565947368421052,591144871.9789474,0.1553947368421052,2365387.8421052634,0.6762315789473685,4.578947368421052,0.011278947368421052,2358383.552631579,7154621.178947369,5909.863157894737
2021-03-17,2065,31.913,5960.739,31,62209,2091,0.16167955801104975,604452217.8674033,0.16140331491712712,2695110.9613259668,2.0532375690607734,5.018629834254144,0.0024861878453038676,2686751.6132596685,10958635.82320442,9380.093922651933
2021-03-18,1797,28.0,5727.6029999999955,75,57049,1861,0.14334920634920634,530449931.26984125,0.13622751322751323,2446881.9365079366,6.565079365079365,3.2825396825396824,0.016746031746031745,2423738.195767196,8304501.608465608,22301.5873015873
2021-03-19,1584,18.0,4826.066999999999,162,38754,1720,0.1511179775280898,487773003.35955054,0.14734831460674147,2386688.337078652,0.0,0.0,0.009106741573033707,2327585.3230337077,8870603.932584269,23813.362359550563
2021-03-20,730,14.48,2417.7239999999993,54,13728,782,0.13670454545454544,436200828.1931818,0.13070454545454543,1920227.5909090908,1.2723920454545454,2.6496988636363636,0.01203409090909091,1888831.111931818,4058932.9318181816,36397.67727272728
2021-03-21,730,5.403,2251.632,385,20297,1070,0.1503898305084746,432720346.259887,0.142225988700565,2049399.2881355933,0.09105084745762712,0.22598870056497175,0.011943502824858756,2018043.175141243,3477040.13559322,12475.977401129943
2021-03-22,1418,26.338,5081.790000000001,1329,24018,2574,0.160521505376344,545612452.4623656,0.15523118279569886,2137764.6559139783,0.12711290322580646,0.3763440860215054,0.018387096774193548,2054573.9763440862,8756654.387096774,60250.16344086022
2021-03-23,1630,24.281,5745.033,2005,50192,3389,0.13155494505494505,529863912.38461536,0.12384065934065933,2379259.021978022,0.37048351648351646,1.3186813186813187,0.01465934065934066,2182161.714285714,8219244.351648352,44342.28461538461
2021-03-24,1739,21.315,6061.375999999999,3325,43228,4660,0.13435263157894733,423511922.23157895,0.1222842105263158,2470937.0631578946,0.05796315789473684,0.18421052631578946,0.033452631578947366,2168464.860526316,10959931.494736843,84558.73421052631
2021-03-25,2889,43.701,13722.179999999995,5644,126687,7993,0.1453560209424083,538556266.7015706,0.1350785340314136,4134784.3089005235,8.092434554973822,11.527905759162303,0.02862303664921466,2655408.32460733,27918595.76963351,306803.8429319372
2021-03-26,2536,35.282,12112.150999999994,6376,130990,8395,0.12361956521739131,439933429.2173913,0.11305434782608698,4152375.527173913,7.243114130434782,10.243695652173912,0.02789673913043478,2671731.1086956523,16782642.45652174,333472.4293478261
2021-03-27,2113,20.367,10852.491000000004,3166,117836,5055,0.13809944751381226,475552664.9281768,0.12608839779005537,3562395.73480663,0.6340662983425415,1.729281767955801,0.039585635359116016,2477150.3988950276,12505553.016574586,284155.0508287293
2021-03-28,2396,14.0,11934.571000000004,7444,108408,9292,0.14111413043478266,388107061.0869565,0.11745108695652175,5130679.619565218,0.0,0.0,0.048858695652173906,1941834.6304347827,10653496.086956521,241464.97282608695
2021-03-29,2919,28.333,13935.066999999988,10769,129496,12958,0.15755958549222793,501091932.7046632,0.13274093264248701,5264417.823834197,25.72834715025907,10.64677202072539,0.04146113989637306,2255787.797927461,18198825.585492227,185414.45077720206
2021-03-30,3072,41.412,12736.154999999999,7617,127147,10141,0.1819109947643979,623565789.4659686,0.1611884816753927,4312088.7068062825,0.15087434554973822,0.36649214659685864,0.040439790575916214,2449087.0785340313,15190948.041884817,139602.95340314138
2021-03-31,2654,37.0,12381.813999999991,9807,116243,11629,0.14556544502617796,465842917.7382199,0.12283769633507863,4579597.047120418,0.0,0.0,0.03292146596858638,2037179.2198952879,14280776.921465969,181158.84816753925
2021-04-08,2251,33.0,10012.270999999995,5535,86740,7332,0.15379487179487183,604710231.4102564,0.1297948717948718,4364510.705128205,0.0,0.0,0.048358974358974356,2277495.0833333335,21451310.53846154,198381.33974358975
